app,review,score,date
Gojek,"karya terbaik bangsa, very helpfull map. Pesan saya, sejahterakan mitra, inshaallah barokah dan makin sukses gojek ini",5,2026-05-08 09:26:06
Gojek,BANYAK PROMONYA🤧,5,2026-05-08 09:19:17
Gojek,Driver cepat datangnya dan sampai di tujuan dengan aman,5,2026-05-08 09:18:09
Gojek,"Tolong jangan Pake Apk ini kalau pesan paket, saya sebagai pembeli sangat kesulitan jika ada driver kirim paket ke saya, nomor whatsapp saya di samarkan dan tidak bisa menghubungi saya, tolong di tindak apk gojek ini . paket saya sering di retur gara gara gojek, lain kali jangan pake lagi, sangat menyulitkan baik saya pembeli dan driver yang mengantarkan pesanan saya .",1,2026-05-08 09:14:48
Gojek,mantap,5,2026-05-08 08:28:42
Gojek,good,5,2026-05-08 08:22:13
Gojek,pelayanan baik.. Terimaksih..,5,2026-05-08 08:20:48
Gojek,bagus,5,2026-05-08 08:04:34
Gojek,"aplikasi yang sangat mudah dan lancar saat menggunakan, sukses selalu",5,2026-05-08 07:55:15
Gojek,"Tetap pertahankan driver yang beneran niatnya kerja dengan baik. Rapi tampilan diri , ramah dan kendaraannya(bersih). Salam sehat buat semua driver gojek, berkah lelahnya ya buat keluarga.Aamiin",5,2026-05-08 07:39:59
Gojek,"saya sangat terbantu,dengan aplikasi iniii",5,2026-05-08 07:04:23
Gojek,jos,5,2026-05-08 06:51:34
Gojek,"kacau, pesan gaada yg di terima sama sekali.. udah nunggu lama padahal sekali nya dapat malah ga gerak atau di diemin doang",1,2026-05-08 06:48:20
Gojek,gojek sangat membantu,5,2026-05-08 06:09:53
Gojek,"pihak gojek itu sengaja meminta agar melaporkan keluhan kita di live chat atau di customer care mereka. karena dari sana dia hanya menyampaikan sesuatu yang berulang, supaya kita capek ngejar perbaikan akun, setelah itu dia embat Saldo pelanggan yang sudah dia blokir/kunci akun gopay nya yang katanya kita dicurigai melakukan transaksi/aktivitas yang mencurigakan dan setelah di cek tim terkait kita melanggar hukum sesuai pasal 17. padahal bukti yang katanya dia temukan tidak bisa dia jelaskan.",1,2026-05-08 06:03:38
Gojek,Driver kalau nambah 1 orang nembak nya di harga gila 2xlipat,1,2026-05-08 05:42:46
Gojek,seru perjalanan nya membuat ku good mood hari ini. Respect buat para ojol,5,2026-05-08 05:41:01
Gojek,saran.. jangan terima 2 orderan sekaligus yang berlawanan arah. custumer jadi menunggu lama untuk makanannya.,2,2026-05-08 05:17:49
Gojek,untuk versi terbaru ini secara keseluruhan sudah baik hanya Masukkan saya tetap pada fitur call yang belum kisah aksesibel dengan pembaca layar tunanetra atau screen Reader mohon perbaikan di versi mendatang akar nyaman digunakan sehingga kami dan driver bisa berkomunikasi saat diperlukan,3,2026-05-08 03:14:26
Gojek,ok,5,2026-05-08 03:11:36
Gojek,disaat aku butuh gojek selalu ada dan sedia...,5,2026-05-08 00:43:01
Gojek,buat para costumer mohon maaf ya.wajar banyak driver pada nolak orderan.karena driver di kotak-2in.ongkir 5 rb ambil di mall anter di di gedung-2.jadi bukan driver yang bermasah..menejemen/orang-2 di kantor gojek nya lah yang biadab.ngga punya rasa ke adilan&prikemanusiaan.,1,2026-05-08 00:34:53
Gojek,semoga lancar,5,2026-05-07 23:50:47
Gojek,good the best,5,2026-05-07 23:47:55
Gojek,Aplikasi Yg Taiiii,1,2026-05-07 23:32:43
Gojek,potongan untuk pengemudi besar terlalu besar,4,2026-05-07 22:37:10
Gojek,"driver gojek skrng berkurang apa gimana si, udah mau sejam nyari driver ga dapet dapet heran!!!",1,2026-05-07 22:32:42
Gojek,"Naikilah gojek, karena gojek is the best",5,2026-05-07 22:12:01
Gojek,"coba perbaiki lagi sistemnya, masa gomart ke Alfa yang jarang 500n harus nunggu 30 menit, pertimbangan dong, kecapean nunggu mana ongkir mahal",2,2026-05-07 21:12:44
Gojek,fast respon,5,2026-05-07 21:00:53
Gojek,kebijakan tidak jelas,1,2026-05-07 20:41:57
Gojek,"aplikasi disaat kita lapar,sangat tidak membantu .....agen agennya kurang selektif serta disiplin tanpa sanksi .....kenapa harus aplikasi ini jika masih banyak aplikasi yang lebih baik.tks",1,2026-05-07 20:38:25
Gojek,sopirnya sangat ramah..dan tidak ngebut berkendara.makasih gojek🙏🙏,5,2026-05-07 20:10:24
Gojek,Jempol,5,2026-05-07 20:08:51
Gojek,"sangatt buruk, udah 4 kali pesann di toko berbeda, di batalkan terus menerus, kecewaa beratt perbaiki dehh tuh sistem driver nya, hobi nya nolak teruss",1,2026-05-07 20:08:06
Gojek,"skrg pesen gofood minimal 1 jam, gila",2,2026-05-07 19:54:52
Gojek,terdepan utk mempermudah kebutuhan wsrga,5,2026-05-07 19:38:10
Gojek,pelayanan ramah,5,2026-05-07 19:21:34
Gojek,"bintang 5 buat driver nya! tepat waktu,cepat,ramah,act of service",5,2026-05-07 19:13:59
Gojek,udh berkali kali verif gagal Mulu,1,2026-05-07 18:57:49
Gojek,drive bagus,5,2026-05-07 18:35:26
Gojek,ada gerangan apa kenapa susah untuk mendapatkan driver? terutama di area pontianak.,3,2026-05-07 18:34:02
Gojek,"baru kali ini gojek 2026 makin hancur, bokbrok terparah, enggak kaya dulu bagus banget.",1,2026-05-07 18:33:10
Gojek,"Sangat mudah dan membatu, dalam aktivitas",5,2026-05-07 18:26:18
Gojek,bagus dan menarik banget,5,2026-05-07 18:25:37
Gojek,top markotop,5,2026-05-07 18:19:26
Gojek,"titik almat bsa berubah sendiri setelah pesan, pdhal sblum pesan alamat sdah benar",1,2026-05-07 18:16:42
Gojek,memuaskan,5,2026-05-07 17:56:59
Gojek,Tepat waktu,5,2026-05-07 17:43:08
Gojek,"jaringan lambat, pemilihan driver terlalu jauh dari titik penjemputan",3,2026-05-07 17:42:41
